Id,Date,Total Steps,Total Sleep Minutes
2873212765,4/11/2016,7497,0
2873212765,4/12/2016,0,0
2891001357,3/29/2016,0,0
2891001357,3/30/2016,0,0
2891001357,3/31/2016,0,0
2891001357,4/1/2016,0,0
2891001357,4/2/2016,4126,0
2891001357,4/3/2016,0,0
2891001357,4/4/2016,0,0
2891001357,4/5/2016,2063,0
3372868164,4/1/2016,5785,0
3372868164,4/2/2016,7625,0
3372868164,4/3/2016,4706,0
3372868164,4/4/2016,5861,0
3372868164,4/5/2016,4460,0
3372868164,4/6/2016,6406,0
3372868164,4/7/2016,7392,0
3372868164,4/8/2016,5551,0
3372868164,4/9/2016,8827,0
3372868164,4/10/2016,4662,0
3977333714,4/1/2016,4499,430
3977333714,4/2/2016,7618,290
3977333714,4/3/2016,11508,359
3977333714,4/4/2016,11943,374
3977333714,4/5/2016,12303,486
3977333714,4/6/2016,15425,426
3977333714,4/7/2016,8422,405
3977333714,4/8/2016,10226,480
3977333714,4/9/2016,14583,418
3977333714,4/10/2016,3573,452
3977333714,4/11/2016,3108,415
3977333714,4/12/2016,759,0
4020332650,3/12/2016,5543,429
4020332650,3/13/2016,3226,533
4020332650,3/14/2016,3023,290
4020332650,3/15/2016,5906,341
4020332650,3/16/2016,12483,493
4020332650,3/17/2016,8940,407
4020332650,3/18/2016,368,0
4020332650,3/19/2016,5702,0
4020332650,3/20/2016,10330,0
4020332650,3/21/2016,8778,0
4020332650,3/22/2016,6662,0
4020332650,3/23/2016,6309,0
4020332650,3/24/2016,1951,0
4020332650,3/25/2016,5563,0
4020332650,3/26/2016,4370,0
4020332650,3/27/2016,7144,0
4020332650,3/28/2016,2106,0
4020332650,3/29/2016,4152,0
4020332650,3/30/2016,5400,387
4020332650,3/31/2016,7428,268
4020332650,4/1/2016,5351,450
4020332650,4/2/2016,4299,508
4020332650,4/3/2016,6107,399
4020332650,4/4/2016,6429,478
4020332650,4/5/2016,6880,0
4020332650,4/6/2016,7476,257
4020332650,4/7/2016,6581,0
4020332650,4/8/2016,10480,0
4020332650,4/9/2016,7734,0
4020332650,4/10/2016,5129,74
4020332650,4/11/2016,2993,438
4020332650,4/12/2016,8,0
4057192912,3/12/2016,0,0
4057192912,3/13/2016,0,0
4057192912,3/14/2016,8433,0
4057192912,3/15/2016,0,0
4057192912,3/16/2016,2139,0
4057192912,3/17/2016,0,0
4057192912,3/18/2016,949,0
4057192912,3/19/2016,0,0
4057192912,3/20/2016,44,0
4057192912,3/21/2016,2660,0
4057192912,3/22/2016,5561,0
4057192912,3/23/2016,7239,0
4057192912,3/24/2016,7,0
4057192912,3/25/2016,0,0
4057192912,3/26/2016,0,0
4057192912,3/27/2016,2275,0
4057192912,3/28/2016,8,0
4057192912,3/29/2016,5137,0
4057192912,3/30/2016,5419,0
4057192912,3/31/2016,0,0
4057192912,4/1/2016,0,0
4057192912,4/2/2016,0,0
4057192912,4/3/2016,0,0
4057192912,4/4/2016,0,0
4057192912,4/5/2016,0,0
4057192912,4/6/2016,18,0
4057192912,4/7/2016,4,0
4057192912,4/8/2016,8426,0
4057192912,4/9/2016,1650,0
4057192912,4/10/2016,3434,0
4057192912,4/11/2016,6801,0
4057192912,4/12/2016,187,0
4319703577,3/29/2016,5643,547
